MOL_id,Molecule_name,evidence,PubChem_CID,TCMID_id,TCMSP_id,OB_score,TCM_ID_id,CAS_id,type
SMIT21117,3-Epi-Dehydrotumulosic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21119,3-Epidehydropachymic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",15226716,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21211,"3-O-16Α,25-Dihydroxy-Lanosta-8,24(3)-Dieen-21-Oic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21216,"3-O-Acetyl-16Α,26-Dihydroxytrametenolic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21220,3-O-Acetylursolic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""https://doi.org/10. 3969 /j. issn.1001-1528. 2017. 10. 049"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10. 3969 /j. issn.1001-1528. 2017. 10. 049&nbsp</a><br> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21287,"3-Oxo-16Α-Hydroxylanosta-7,9(11),24-Trien-21-Oic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21307,3-Tert-Butyladipic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",98967,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21329,"3Α,16Β-Dihydroxylanosta-7,9(11),24-Trien-21-Oic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21348,"3Β,16Α- Dihydroxylanostene-Triene-21-Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/31749036/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp31749036</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21349,"3Β,16Α-Dihydroxy-7-Oxolanosta-8,24-Dien-21-Oic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21350,"3Β,16Α-Dihydroxy-Lanosta-8,24-Dien-21-Oic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21351,"3Β,16Α-Dihydroxylanosta-7,9(11),24-Trien-21-Oic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21373,"3Β-Hydroxy-16-Acetoxylanosta-7,-9(11)-24-Trien-21-Oic A<br>cid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT21374,"3Β-Hydroxy-16Α-Acetoxy-Lanosta-7,9(11),24-Trien-21-Oic <br>Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21857,6-Hydroxy-Dehydrotumulosic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21911,6Α-Hydroxydehydropachymic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT22955,Cid 5471852,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/31749036/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp31749036</a>;<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a>;<br><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",5471852,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT23280,Daedaleanic Acid A,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",11179164,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT23389,Dehydroeburiconic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT23421,Dehydropachymic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/31749036/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp31749036</a>;<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a>;<br> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/31749036/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp31749036</a> </kbd>",15226717,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT23426,Dehydrotrametenoic Acid +O,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT23427,Dehydrotrametenoic Acid +O−H2,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT23429,Dehydrotumulosic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/31749036/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp31749036</a>;<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a>;<br><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",15225964,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT23430,Dehydrotumulosic Acid +O,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT23431,Dehydrotumulosic Acid+O2,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT23432,Dehydrotumulosic Acid+O2−H2,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT23433,Dehydrotumulosic Acid+O−H2,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT23605,Dimethyl(R)-(+)-Malate,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT23707,Eburicoic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",73402,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT23708,Eburiconic Acid +O,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT23709,Eburiconic Acid+O2−H2,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT24546,Hydroxyporicoic Acid H+O,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT25398,Methyl Pachymate,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://cdmd.cnki.com.cn/Article/CDMD-10572-1016276758.htm"" style=""color:#FFFFFF"" target=""_blank"">&nbsp当归芍药散治疗AD的入血生物活性成分及复方对其生物利用度的影响 &nbsp</a><br> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT25908,"Oxidation,Glucuronideconjugation Of Benzoic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT25943,P-Hydroxybenzyl Alcohol,,,,,,,,
SMIT25966,Pachymic Acid C,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""https://doi.org/10.3969 /j.issn.1001-1528.2017.10.049"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.3969 /j.issn.1001-1528.2017.10.049&nbsp</a><br> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT25968,Pachymic Acidc,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""https://doi.org/10. 3969 /j. issn.1001-1528. 2017. 10. 049"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10. 3969 /j. issn.1001-1528. 2017. 10. 049&nbsp</a><br> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT26216,Polyporenic Acid C+O,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT26221,Poriacosone A,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT26222,Poriacosone B,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT26224,Poricoic Acid Am,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",46882717,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT26229,Poricoic Acid F/A,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT26230,Poricoic Acid G,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",5471966,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT26231,Poricoic Acid H,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",10918099,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT26232,Poricoic Acid H+O,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT26233,Poricoic B+O,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT26234,Poricoic Bm+O−H2,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT26275,Protocatechuicacid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT27226,Trametenolic Acid+O2,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT27227,Trametenolic Acid+O2−H2,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT27337,Tumulosic Acid +O,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT27364,Unknown,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
