P_value,Orphanet_id,FDR(Bonferroni),Relationship,FDR(BH),Disease_id,Disease_name,OMIM_id
0.000794,,1.0,By_ingredient,0.004541,SMDE11545,Nose Diseases,
5e-06,,1.0,By_ingredient,9.7e-05,SMDE11640,Oral Submucous Fibrosis,
0.000111,,1.0,By_ingredient,0.001013,SMDE11642,Oral Ulcer,MTHU005463|MTHU033982
1e-06,,1.0,By_ingredient,3.1e-05,SMDE11669,Osteitis,
0.000132,,1.0,By_ingredient,0.001153,SMDE11693,Osteomyelitis,MTHU037798
0.000126,,1.0,By_MM_symptom|By_ingredient,0.001112,SMDE11703,Osteosclerotic Myeloma,
7.9e-05,,1.0,By_ingredient,0.000777,SMDE11741,Other Specif.Peritonitis Nos,
0.000103,,1.0,By_ingredient,0.000958,SMDE11753,Otitis Media,MTHU005462
6.1e-05,,1.0,By_ingredient,0.000641,SMDE11773,Ovarian Neoplasm,
0.000753,,1.0,By_ingredient,0.004358,SMDE11799,Overnutrition,
0.00021,,1.0,By_ingredient,0.001648,SMDE11833,Pancreas Head Cancer Malignant,
0.00021,,1.0,By_ingredient,0.001648,SMDE11837,"Pancreatic Carcinoma, Familial",
4.9e-05,,1.0,By_ingredient,0.000536,SMDE11858,Pancreatic Neoplasm,
0.000815,,1.0,By_ingredient,0.004631,SMDE11895,Papilloma,
0.000257,,1.0,By_ingredient,0.001926,SMDE11902,Paracoccidioidomycosis,
8.7e-05,,1.0,By_ingredient,0.00084,SMDE11997,Pathological Accumulation Of Air In Tissues,MTHU036652
8e-06,,1.0,By_ingredient,0.000133,SMDE12035,Peptic Ulcer,
6.5e-05,,1.0,By_MM_symptom|By_ingredient,0.000673,SMDE12048,Periapical Periodontitis,
5.2e-05,,1.0,By_ingredient,0.000564,SMDE12051,Pericarditis,MTHU011706
0.000246,,1.0,By_ingredient,0.001859,SMDE12073,Periodontal Diseases,MTHU016203
0.000523,,1.0,By_ingredient,0.003309,SMDE12075,Periodontitis,MTHU009733
0.000257,,1.0,By_ingredient,0.001926,SMDE12079,Peripheral Arterial Diseases,
2.2e-05,,1.0,By_ingredient,0.000295,SMDE12082,Peripheral Neuropathy,MTHU000700
0.000705,,1.0,By_ingredient,0.004144,SMDE12089,Peritoneal Neoplasms,
5e-05,,1.0,By_ingredient,0.000546,SMDE12091,Peritonitis,MTHU036750|MTHU018331
2.9e-05,,1.0,By_ingredient,0.000356,SMDE12130,Pharyngeal Diseases,
3.9e-05,,1.0,By_ingredient,0.000451,SMDE12132,Pharyngitis,MTHU007438
0.000356,,1.0,By_ingredient,0.002466,SMDE12198,Placenta Disorders,
0.000385,,1.0,By_ingredient,0.002618,SMDE12225,Pleural Diseases,
0.000143,,1.0,By_ingredient,0.001224,SMDE12234,Pleurisy,MTHU011705
0.000685,,1.0,By_ingredient,0.004056,SMDE12242,Pneumoconiosis,
0.000141,,1.0,By_ingredient,0.001214,SMDE12244,Pneumonia,MTHU002638
7e-06,,1.0,By_ingredient,0.000116,SMDE12261,Poems Syndrome,
2.5e-05,,1.0,By_ingredient,0.000317,SMDE12266,Poliomyelitis,MTHU014245
5.8e-05,,1.0,By_ingredient,0.000613,SMDE12273,Polycystic Kidney Diseases,MTHU017769
0.000293,,1.0,By_ingredient,0.00213,SMDE12274,"Polycystic Kidney, Autosomal Dominant",173900
0.0,,0.08679,By_ingredient,4e-06,SMDE12295,Polymyositis,MTHU037341
1.5e-05,,1.0,By_ingredient,0.000216,SMDE12341,Post-Kala-Azar Dermal Leishmaniasis,
0.000508,,1.0,By_ingredient,0.003236,SMDE12389,Pre-Eclampsia,189800|MTHU004758
2.8e-05,,1.0,By_ingredient,0.000351,SMDE12436,Primary Effusion Lymphoma,
7e-06,,1.0,By_ingredient,0.000123,SMDE12451,Primary Malignant Neoplasm Of Liver,MTHU019145
5.8e-05,,1.0,By_ingredient,0.000613,SMDE12461,Proctitis Radiation,
1.1e-05,,1.0,By_ingredient,0.000174,SMDE12484,Prostatitis,MTHU007521
0.000882,,1.0,By_ingredient,0.004925,SMDE12491,Protein-Energy Malnutrition,
0.000902,,1.0,By_ingredient,0.005007,SMDE12494,Protoplasmic Astrocytoma,
0.000602,,1.0,By_ingredient,0.003683,SMDE12525,Pseudopelade,
0.000377,,1.0,By_ingredient,0.002579,SMDE12534,Psoriasis,MTHU036411
4e-06,,1.0,By_ingredient,7e-05,SMDE12588,Pulmonary Embolism,MTHU037124
8.2e-05,,1.0,By_ingredient,0.000799,SMDE12592,Pulmonary Hemosiderosis Idiopathic,178550|235500
6e-06,,1.0,By_ingredient,0.000106,SMDE12600,Pulmonary Lymphangioleiomyomatosis,
2e-06,,1.0,By_MM_symptom|By_ingredient,3.7e-05,SMDE12611,Pulpitis,
9.4e-05,,1.0,By_MM_symptom|By_ingredient,0.000892,SMDE12612,Punctate Palmoplantar Keratoderma,MTHU044493|MTHU040671
6.7e-05,,1.0,By_ingredient,0.000688,SMDE12627,Pyelonephritis Xanthogranulomatous,
0.000341,,1.0,By_ingredient,0.002387,SMDE12645,Q Fever Vaccine,
3.4e-05,,1.0,By_ingredient,0.000411,SMDE12647,Quadrilateral Fever,
3.4e-05,,1.0,By_ingredient,0.000411,SMDE12648,Quadriplegia,MTHU038030|MTHU036518
7.2e-05,,1.0,By_ingredient,0.000723,SMDE12653,Radial-Renal Syndrome,179280
0.000304,,1.0,By_ingredient,0.002185,SMDE12660,Radio Renal Syndrome,
0.000833,,1.0,By_ingredient,0.004709,SMDE12680,"Rasmussen Syndrome, Intractable",
5.7e-05,,1.0,By_ingredient,0.000606,SMDE12780,Renal Cell Carcinoma Associated With Inv(X)(P11;Q12),
7e-06,,1.0,By_ingredient,0.000123,SMDE12806,Resectable Hepatocellular Carcinoma,
0.000105,,1.0,By_ingredient,0.000968,SMDE12811,Respiratory Aspiration,
0.000507,,1.0,By_ingredient,0.003232,SMDE12822,Respiratory Tract Hemorrhage,
0.000166,,1.0,By_MM_symptom|By_ingredient,0.001378,SMDE12838,Retinal Neovascularization,MTHU018215|MTHU007395
0.000145,,1.0,By_ingredient,0.001239,SMDE12879,Rheumatic Mitral Stenosis,
1e-06,,0.608992,By_ingredient,2e-05,SMDE12882,Rheumatism And Fibrositis Unspecified,
0.000254,,1.0,By_ingredient,0.001908,SMDE12900,Rift Valley Fever Vaccine,
0.0,,0.155189,By_ingredient,7e-06,SMDE12953,"Sarcoidosis, Pulmonary",
0.0,,0.317726,By_ingredient,1.2e-05,SMDE12956,Sarcoma - Category (Morphologic Abnormality),
0.000941,,1.0,By_ingredient,0.005167,SMDE12987,Schofer Beetz Bohl Syndrome,
0.0,,0.319711,By_ingredient,1.2e-05,SMDE13009,Scurf,
1e-06,,0.554817,By_ingredient,1.8e-05,SMDE13156,Silicotuberculosis,
1e-06,,0.729612,By_ingredient,2.3e-05,SMDE13157,Simple Bruising,179000
0.0,,0.091587,By_ingredient,4e-06,SMDE13336,Spinal Cord Ischemia,
0.0,,0.104277,By_ingredient,5e-06,SMDE13337,Spinal Cord Myelodysplasia,
0.0,,0.104277,By_ingredient,5e-06,SMDE13342,Spinal Diseases,
6.5e-05,,1.0,By_ingredient,0.000669,SMDE13379,Spondylarthropathies,MTHU027313
0.000978,,1.0,By_MM_symptom|By_ingredient,0.005317,SMDE13380,Spondylitis,
5.8e-05,,1.0,By_ingredient,0.000617,SMDE13625,Starch Granuloma Of Skin,
1e-06,,0.687273,By_ingredient,2.2e-05,SMDE13640,Steatorrhea,MTHU009718|MTHU035683
0.000312,,1.0,By_ingredient,0.002232,SMDE13668,Stomach Ulcer Adverse Event,
0.000794,,1.0,By_ingredient,0.004541,SMDE13684,Strongylida Infections,
1e-06,,0.63203,By_ingredient,2e-05,SMDE13700,Subarachnoid Hemorrhage Traumatic,
4e-06,,1.0,By_ingredient,7.8e-05,SMDE13716,"Substance Abuse, Intravenous",
2.7e-05,,1.0,By_ingredient,0.000338,SMDE13770,Synovitis,
0.000102,,1.0,By_ingredient,0.000951,SMDE13771,"Synovitis, Acne, Pustulosis, Hyperostosis, And Osteitis Syndrome",
3e-06,,1.0,By_ingredient,7e-05,SMDE13781,Systemic Scleroderma,
0.0008,,1.0,By_ingredient,0.004566,SMDE13836,Testicular Neoplasms,
2.2e-05,,1.0,By_MM_symptom|By_ingredient,0.00029,SMDE13895,Thyroid Neoplasm,
0.000618,,1.0,By_ingredient,0.003754,SMDE13896,Thyroid Nodule,
1.3e-05,,1.0,By_ingredient,0.000193,SMDE13926,Tonic - Clonic Seizures,MTHU021426|MTHU002377|MTHU021298|MTHU029003|MTHU000392|MTHU000807|MTHU035503|MTHU009784|MTHU001313|MTHU002978|MTHU038917
6.3e-05,,1.0,By_ingredient,0.000654,SMDE13931,Tooth Abnormalities,MTHU044128|MTHU038558|MTHU037448|MTHU002327|MTHU013244|MTHU010117|MTHU022143
5.8e-05,,1.0,By_ingredient,0.000617,SMDE13953,Toxocariasis,
0.000136,,1.0,By_ingredient,0.001178,SMDE13976,Transient Myeloproliferative Disorder Of Down Syndrome,190685|151385
3.3e-05,,1.0,By_ingredient,0.000393,SMDE14025,"Tsc2 Angiomyolipomas, Renal, Modifier Of",613254|147570
0.000523,,1.0,By_ingredient,0.003309,SMDE14076,Ulna Fracture,MTHU053283
0.000447,,1.0,By_ingredient,0.002937,SMDE14106,Ureteral Calculi,
0.000395,,1.0,By_ingredient,0.002671,SMDE14165,Uveitis Adverse Event,
0.000338,,1.0,By_MM_symptom|By_ingredient,0.002372,SMDE14201,Varicose Ulcer,MTHU033952
0.0,,0.076459,By_ingredient,4e-06,SMDE14212,Vascular Fistula,
3e-06,,1.0,By_ingredient,6.6e-05,SMDE14222,"Vasculitis, Leukocytoclastic, Cutaneous",
4e-06,,1.0,By_MM_symptom|By_ingredient,7.3e-05,SMDE14290,Viral Epidemic Vertigo,
0.000476,,1.0,By_ingredient,0.003078,SMDE14295,Viremia,
0.0,,0.022529,By_ingredient,1e-06,SMDE14371,Widow,
